latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.1568,-0.4119,322.1,1.4,1.2,2023-01-01,1033,Terra,MODIS,65,61.03,308.4,11,D,0
9.0286,0.4219,329.3,1.6,1.2,2023-01-01,1033,Terra,MODIS,79,61.03,308.3,31.4,D,0
9.3684,-1.8709,320,1.1,1.1,2023-01-01,1033,Terra,MODIS,47,61.03,306.6,7.8,D,0
9.3373,-1.8551,329,1.1,1.1,2023-01-01,1033,Terra,MODIS,77,61.03,308.8,19.8,D,0
9.3358,-1.845,320.1,1.1,1.1,2023-01-01,1033,Terra,MODIS,35,61.03,306.8,8.6,D,0
9.281,-1.4863,334.6,1.2,1.1,2023-01-01,1033,Terra,MODIS,83,61.03,306.9,28.7,D,0
9.2794,-1.4759,329.3,1.2,1.1,2023-01-01,1033,Terra,MODIS,77,61.03,308.5,19.3,D,0
9.1585,-0.692,318.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,49,61.03,306.9,9.1,D,0
9.1271,-0.4907,324.3,1.4,1.2,2023-01-01,1033,Terra,MODIS,70,61.03,309,16.3,D,0
9.2698,-1.4773,327.8,1.2,1.1,2023-01-01,1033,Terra,MODIS,75,61.03,308.3,18,D,0
9.4218,-2.5368,317.6,1.1,1,2023-01-01,1033,Terra,MODIS,54,61.03,301.4,6.3,D,0
9.3975,-2.376,321.8,1.1,1,2023-01-01,1033,Terra,MODIS,57,61.03,308,9.3,D,0
9.1236,-0.6011,318.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,45,61.03,307,7.9,D,0
9.1146,-0.6748,323.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,68,61.03,307.7,13.7,D,0
9.2093,-1.493,333.5,1.2,1.1,2023-01-01,1033,Terra,MODIS,82,61.03,308.1,27.6,D,0
9.1708,-1.3691,323.7,1.2,1.1,2023-01-01,1033,Terra,MODIS,68,61.03,306.9,13.5,D,0
9.2062,-1.6636,331.6,1.2,1.1,2023-01-01,1033,Terra,MODIS,80,61.03,306,25.6,D,0
9.2046,-1.6533,331.9,1.2,1.1,2023-01-01,1033,Terra,MODIS,80,61.03,307.2,26.2,D,0
8.9091,0.2412,324.3,1.5,1.2,2023-01-01,1033,Terra,MODIS,72,61.03,308,20.5,D,0
9.0566,-0.7619,324.4,1.3,1.1,2023-01-01,1033,Terra,MODIS,37,61.03,309.5,12.6,D,0
8.9345,0.0123,326.7,1.5,1.2,2023-01-01,1033,Terra,MODIS,75,61.03,307.5,24.9,D,0
8.9324,0.0253,319.1,1.5,1.2,2023-01-01,1033,Terra,MODIS,59,61.03,307.3,11,D,0
9.1952,-1.7177,321.3,1.1,1.1,2023-01-01,1033,Terra,MODIS,58,61.03,308,10.5,D,0
